"","R2","P","FDR"
"C_MRACE",0.0182596719229382,0.001,0.001375
"C_MARITA",0.0300262980356796,0.001,0.001375
"C_MOMEDU",0.0376031483253285,0.001,0.001375
"edu_cat",0.0436794275428374,0.001,0.001375
"C_MAGE24",0.0224297169668165,0.001,0.001375
"C_POVERT",0.0523873092938549,0.001,0.001375
"C_PARITY",0.0126908265573471,0.047,0.0517
"C_BMI",0.00245371133119945,0.086,0.086
"douche",0.0193142294429468,0.001,0.001375
"SFOLATE",0.0119206765667802,0.001,0.001375
"vitd_total",0.0147906254659324,0.04,0.0488888888888889
